price,area,city,bedrooms,bathrooms,location,property_type,url,built_in_year,parking,servant_quarters,store_rooms,kitchens,drawing_rooms
6.5 Crore,11 Marla,Islamabad,5.0,6.0,"Bahria Enclave - Sector C1, Bahria Enclave",House,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_beautiful_corner_house_for_sale_11_marla_sector_c1_bahria_enclave-54198973-11987-1.html,2026.0,,1.0,,2.0,
14.5 Crore,1 Kanal,Islamabad,7.0,,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_ultra_luxury_designer_house_for_sale_in_dha_phase_2_islamabad_7_master_bedrooms_prime_location_near_central_park_dha_phase_2_islamabad_expressway_elegant_living_double_kitchens_servant_accommodation_parking_for_3-54115123-339-1.html,2026.0,4.0,2.0,,2.0,
9.25 Crore,10 Marla,Islamabad,6.0,6.0,"DHA Defence Phase 5, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_buying_a_house_in_dha_defence_phase_5_islamabad-53925522-10991-1.html,2026.0,3.0,2.0,1.0,3.0,
13.85 Crore,1 Kanal,Islamabad,5.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_luxury_modern_house_for_sale_in_dha_phase_2_front_of_central_park_near_giga_mall_prime_location-54129514-339-1.html,2026.0,3.0,2.0,1.0,3.0,
46 Crore,3 Kanal,Islamabad,10.0,7.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_3_kanal_ultra_luxury_fully_furnished_mansion_for_sale_in_dha_phase_2_islamabad-54253565-339-1.html,2026.0,8.0,2.0,3.0,2.0,
5.8 Crore,10 Marla,Islamabad,5.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_10_marla_luxurious_house_for_sale-52964143-339-1.html,2025.0,2.0,1.0,2.0,2.0,
3.8 Crore,10 Marla,Islamabad,4.0,4.0,"Eighteen, Kashmir Highway",House,https://www.zameen.com/Property/kashmir_highway_eighteen_10_marla_luxury_premium_villa_in_eighteen_islamabad_available_for_sale-54155476-12602-1.html,,,,,,
5 Crore,1.3 Kanal,Islamabad,5.0,6.0,"Bani Gala, Islamabad",House,https://www.zameen.com/Property/islamabad_bani_gala_ideal_house_is_available_for_sale_in_bani_gala-50367010-340-1.html,2023.0,4.0,,,,
3.75 Crore,4 Marla,Islamabad,5.0,6.0,"G-13, Islamabad",House,https://www.zameen.com/Property/islamabad_g-13_corner_25x40_house_g-13_islamabad-54158101-330-1.html,2026.0,,1.0,,2.0,
12.75 Crore,1 Kanal,Islamabad,5.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_beautiful_house_for_sale_in_dha_phase_2_islamabad-54150609-339-1.html,2026.0,3.0,2.0,2.0,2.0,
