iter	RMSE
0	1.026362272
1	0.9999593291
2	0.9752342381
3	0.9508524449
4	0.9276386367
5	0.9037508866
6	0.8814889042
7	0.8595119206
8	0.8382996292
9	0.8170485821
10	0.7974909971
11	0.778241727
12	0.7591577209
13	0.7414551252
14	0.7241117457
15	0.706717291
16	0.6901707092
17	0.6743815559
18	0.6594192389
19	0.6438355314
20	0.6293609043
21	0.615779183
22	0.6024245597
23	0.5891631974
24	0.5760256056
25	0.5635575441
26	0.5513176436
27	0.5393037447
28	0.5277381039
29	0.5168149122
30	0.5065628548
31	0.4960383475
32	0.485317944
33	0.4754465552
34	0.4664034542
35	0.4575046857
36	0.448378118
37	0.4400180757
38	0.4316730395
39	0.4237237767
40	0.4163912675
41	0.4091690418
42	0.4018161937
43	0.3948692444
44	0.3881689545
45	0.3814720156
46	0.3749118015
47	0.3691563903
48	0.3632552248
49	0.3574164884
50	0.3519860388
51	0.3468000763
52	0.3419896783
53	0.3371744712
54	0.3327370578
55	0.3283332738
56	0.323730459
57	0.3193799294
58	0.3149851591
59	0.3110557149
60	0.3072183789
61	0.3035230163
62	0.2999755136
63	0.2965827187
64	0.2932380592
65	0.290075972
66	0.286940335
67	0.28393476
68	0.2810438899
69	0.2783901482
70	0.2759115357
71	0.2734200023
72	0.2710486146
73	0.268827171
74	0.2667123158
75	0.2647639242
76	0.2625854232
77	0.2606305065
78	0.2587534209
79	0.2569280582
80	0.2552033126
81	0.2533715672
82	0.2518670286
83	0.2501676616
84	0.2485687366
85	0.2470671583
86	0.2455509383
87	0.2440928622
88	0.2426751215
89	0.2414170552
90	0.2401713715
91	0.2389081768
92	0.2376379
93	0.2364701312
94	0.2353503382
95	0.2342309127
96	0.2331340094
97	0.2321531637
98	0.2312550177
99	0.2303723923
100	0.2293570375
101	0.2284599214
102	0.227682463
103	0.2269049142
104	0.226093188
105	0.2253691578
106	0.2246648726
107	0.2239377896
108	0.2232598325
109	0.2224891824
110	0.2218285829
111	0.2211671414
112	0.2206394543
113	0.2199733138
114	0.2193990925
115	0.2186625265
116	0.2178909997
117	0.2172731385
118	0.2166379808
119	0.2160674494
120	0.2155859163
121	0.2150637624
122	0.214598582
123	0.2140170508
124	0.213450431
125	0.213007478
126	0.2125385101
127	0.2120600425
128	0.2116010952
129	0.211138142
130	0.2107821904
131	0.210364272
132	0.2099814583
133	0.2095413034
134	0.2091881162
135	0.2087980103
136	0.2084388464
137	0.2079944016
138	0.2076279842
139	0.2072918936
140	0.2068924843
141	0.2065371306
142	0.2061579521
143	0.2058307359
144	0.2055640223
145	0.2052902049
146	0.2048912895
147	0.2045911015
148	0.2043236885
149	0.2039739772
150	0.2036744941
151	0.2034135646
152	0.2031133127
153	0.2028827276
154	0.2025538309
155	0.2022437582
156	0.2020141376
157	0.2017780442
158	0.2014685792
159	0.2011388967
160	0.2008274273
161	0.200571382
162	0.2003312254
163	0.2000514719
164	0.1997936951
165	0.1995297412
166	0.1991773459
167	0.1989055615
168	0.198643599
169	0.1983451652
170	0.1980735582
171	0.1978175775
172	0.1975563177
173	0.1973724479
174	0.1970958715
175	0.1968778171
176	0.196675388
177	0.1964141014
178	0.1962100756
179	0.1959645466
180	0.1956886679
181	0.1954478344
182	0.1952856897
183	0.1951168156
184	0.1949529797
185	0.1946703533
186	0.194478448
187	0.1942088149
188	0.1939345857
189	0.1937528119
190	0.1935573167
191	0.193353374
192	0.1931541367
193	0.1929504455
194	0.1927522914
195	0.1925284864
196	0.1922585732
197	0.1921231714
198	0.1919837804
199	0.1918498761
200	0.1916563476
201	0.1914774913
202	0.1912016881
203	0.1910438856
204	0.1908941624
205	0.1907547946
206	0.1904858562
207	0.1902705801
208	0.1900504066
209	0.1899443243
210	0.1897071353
211	0.1894005292
212	0.1892440076
213	0.1889548317
214	0.1886380453
215	0.1884672698
216	0.1882573281
217	0.1880401455
218	0.1878128368
219	0.1876395595
220	0.18747433
221	0.1873319489
222	0.187002622
223	0.186828244
224	0.1866981206
225	0.1865632074
226	0.1863785112
227	0.1861893828
228	0.1860603292
229	0.1859229419
230	0.1857767233
231	0.1856136787
232	0.1854856242
233	0.1853028466
234	0.1851029699
235	0.1849018225
236	0.1847820968
237	0.1846064907
238	0.1844168195
239	0.1842484776
240	0.1841410752
241	0.1839449705
242	0.1836790822
243	0.1835143006
244	0.1833175132
245	0.1831699376
246	0.1829871765
247	0.1828793591
248	0.182690767
249	0.1825539635
250	0.1823528019
251	0.1822057677
252	0.1820283383
253	0.1817126026
