iter	Passed	Remaining
0	40	32569
1	80	32138
2	108	28893
3	133	26611
4	158	25262
5	181	24020
6	203	22997
7	222	22015
8	239	21091
9	256	20244
10	275	19745
11	293	19246
12	307	18629
13	326	18347
14	355	18597
15	376	18445
16	392	18079
17	415	18033
18	431	17721
19	447	17443
20	466	17306
21	483	17093
22	501	16931
23	519	16812
24	542	16802
25	560	16688
26	580	16631
27	601	16577
28	620	16494
29	638	16395
30	657	16313
31	677	16268
32	694	16152
33	710	16002
34	727	15910
35	743	15771
36	755	15577
37	767	15398
38	780	15230
39	793	15084
40	806	14923
41	818	14772
42	831	14633
43	844	14502
44	857	14381
45	869	14256
46	882	14133
47	894	14017
48	908	13921
49	922	13844
50	938	13786
51	950	13674
52	964	13595
53	980	13541
54	983	13323
55	1001	13302
56	1019	13290
57	1039	13304
58	1058	13289
59	1076	13275
60	1093	13247
61	1111	13235
62	1129	13208
63	1146	13183
64	1162	13146
65	1180	13132
66	1197	13096
67	1212	13054
68	1229	13024
69	1247	13014
70	1263	12968
71	1277	12912
72	1294	12891
73	1310	12855
74	1325	12814
75	1338	12750
76	1352	12703
77	1366	12644
78	1378	12585
79	1392	12530
80	1413	12546
81	1428	12507
82	1445	12483
83	1459	12441
84	1474	12400
85	1488	12355
86	1502	12315
87	1517	12281
88	1531	12233
89	1545	12195
90	1559	12148
91	1574	12113
92	1588	12077
93	1603	12042
94	1619	12015
95	1635	11990
96	1653	11982
97	1671	11972
98	1688	11957
99	1706	11942
100	1721	11915
101	1739	11904
102	1756	11885
103	1772	11864
104	1789	11844
105	1805	11821
106	1821	11794
107	1836	11770
108	1853	11748
109	1868	11723
110	1884	11697
111	1899	11670
112	1916	11652
113	1932	11631
114	1948	11605
115	1962	11571
116	1977	11541
117	1991	11509
118	2007	11485
119	2024	11469
120	2041	11456
121	2058	11439
122	2076	11426
123	2090	11398
124	2105	11368
125	2122	11356
126	2141	11349
127	2158	11333
128	2174	11309
129	2189	11283
130	2208	11279
131	2225	11261
132	2242	11244
133	2258	11225
134	2276	11213
135	2291	11188
136	2306	11161
137	2320	11131
138	2335	11104
139	2349	11075
140	2363	11047
141	2377	11015
142	2391	10987
143	2406	10961
144	2419	10929
145	2433	10901
146	2447	10873
147	2463	10852
148	2478	10829
149	2493	10804
150	2507	10775
151	2520	10745
152	2534	10717
153	2548	10689
154	2562	10664
155	2576	10636
156	2590	10607
157	2603	10577
158	2616	10547
159	2631	10525
160	2644	10497
161	2658	10469
162	2673	10446
163	2687	10421
164	2700	10391
165	2714	10366
166	2727	10338
167	2742	10315
168	2756	10292
169	2772	10273
170	2786	10251
171	2801	10229
172	2814	10202
173	2828	10174
174	2841	10149
175	2856	10127
176	2869	10099
177	2885	10084
178	2900	10061
179	2913	10035
180	2928	10014
181	2941	9988
182	2957	9971
